PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
Artemis,,Alenia,ESA,Ariane? H2,93 Oct,1993,"$382,143",10/15/93,01 Jul,07/12/01,93 ,96 Oct,10/15/96,36 ,1 ,,,$535,$535,,,,,$535,FFP,"3,100","1,400","2,750",GEO,21.4ºE,,6,1,,,6,16,6L/1S/6Ku/16Ka,,10.0,,3-axis,,
INT 803,,Martin,INTELSAT,Ar4/LM3B,93 Sep,1993,"$39,975",09/15/93,97 Sep,09/24/97,48 ,96 Dec,12/15/96,39 ,3 ,$174,$18,$192,$64,,,,,$192,FFP,"3,455","1,601","5,540",GEO,,,,,28,,3,,28C/3Ku,Transoceanic Global,16.0,GE-7000,3-axis,,
Galaxy 03R,,HAC,HCI,Atlas 2A,94,1994,"$60,606",,95 Dec,12/15/95,,95 Dec,12/15/95,,1 ,,,$80,$80,,,,,$80,FFP,"2,980","1,320","4,700",GEO,,,,,,,24,,24 Ku 63W,USA,15.0,HS 601,3-axis,,
HotBird 2,48AEurobird9,MMS,Eutelsat,Atlas 2A,94 Apr,1994,"$76,667",04/15/94,96 Nov,11/21/96,31 ,96 Jul,07/15/96,27 ,1 ,,,$115,$115,,$80,,,$195,FFP,"2,923","1,500","4,988",GEO,40ºE,,,,,,20,,20Ku 110W,Europe,14.5,ES-2000,3-axis,,
Rocsat 1,Formosat1,TRW,Taiwan,Athena 1,94 Apr,1994,"$152,500",04/15/94,99 Jan,01/27/99,57 ,98 Apr,04/15/98,48 ,1 ,,,$61,$61,,,,,$61,FFP,425,400,,GEO,,,,,,,,,Ka,Taiwan,5.0,Eagle600,3-axis,,
GE 02,AMC-2,LockMart,GE Americom,Ariane,94 Dec,1994,"$54,688",12/15/94,97 Jan,01/30/97,26 ,96 Oct,10/15/96,22 ,1 ,,,$70,$70,,,,,$70,FFP,"2,649","1,280","6,061",GEO,101.0ºW,,,,24,,24,,24C18W/24Ku60W,USA,15.0,A-2100,3-axis,,
HotBird 3,Eutelsat,MMS,Eutelsat,Ariane,94 Dec,1994,"$76,667",12/15/94,97 Sep,09/02/97,33 ,,,,1 ,,,$115,$115,,$70,,,$185,FFP,"2,923","1,500","4,988",GEO,,,,,,,20,,20 Ku - 115W,Europe,12.0,ES-2000,3-axis,,
NOAA,,Martin,NOAA,,94 Dec,1994,"$44,393",12/15/94,98 May,05/13/98,41 ,N/A,,,2 ,,,$151,$76,,,,,,,"1,712","1,712","1,470",LEO,,,,,,,,,Metsat,,,,3-axis,,
Skynet 4D,,MMS,UK MOD,DelAriane4,94 Feb,1994,"$158,824",02/15/94,98 Jan,01/09/98,47 ,97 Nov,11/15/97,45 ,3 ,$294,$29,$323,$108,,$252,$117,,$692,,"1,510",680,"1,500",GEO,,,,,,3,,,3 X-band,,8.0,ECS,3-axis,,
Radarsat 2,,SPAR,CSA,Delta 2,94 Jul,1994,"$63,660",07/15/94,00,,,00,,,1 ,,,$175,$175,,,,,$175,FFP,"2,749","2,749","3,000",LEO,,,,,,,,,Radar Imaging,,5.0,,3-axis,,
PAS 3R,,HAC,PanAmSat,Ariane,94 Jun,1994,"$68,966",06/15/94,96 Jan,01/12/96,19 ,N/A,,,1 ,,,$100,$100,,$75,$35,,$210,FFP,"2,918","1,450","4,225",GEO,43.0ºW,,,,16,,16,,16C/16Ku,,13.0,HS 601,3-axis,,
Globalstar,,SS/L,LoralQualP,Delta,94 Mar,1994,"$45,845",03/15/94,98 Feb,02/14/98,47 ,97 Mar,03/15/97,36 ,56 ,$920,,$920,$16,$356,$194,$200,$167,"$1,837",Cost,444,349,"1,100",LEO,,,,,,,,,L/S/C-band,Regional,7.5,New,3-axis,,
INM 3 F5,Inmarsat,Martin,Inmarsat,Ariane,94 Mar,1994,"$93,023",03/15/94,98 Feb,02/04/98,47 ,97,,,1 ,,,$80,$80,,$66,,,$146,FFP,"2,068",860,"2,800",GEO,25ºE,,6,,2,,,,L-band,Global,13.0,GE-4000,3-axis,,
INT 806,NSS 806,Martin,INTELSAT,Ariane 4,94 May,1994,"$51,218",05/15/94,98 Feb,02/28/98,46 ,97 Jul,07/15/97,38 ,1 ,$72,$10,$82,$82,,,,,$82,FFP,"3,455","1,601","5,540",GEO,40.5ºW,,,,28,,3,,28C/3Ku,Transoceanic Global,16.0,GE-7000,3-axis,,
Kompsat 1,Arirang-1,TRW,KARI,Taurus,94 Oct,1994,"$174,825",10/15/94,99 Dec,12/21/99,62 ,99 Jul,07/15/99,57 ,1 ,,,$75,$75,,,,,$75,,510,429,630,GEO,,,,,,,,,Ka Multi,S Korea,3.0,Eagle600,3-axis,,
MSX,,APL,NASA,Delta 2,94 Sep,1994,"$121,269",09/15/94,96 Apr,04/24/96,19 ,N/A,,,1 ,,,$325,$325,,,,,$325,,"2,721","2,680","1,200",LEO,,,,,,,,,11 sensor,,5.0,,,,
EchoStar 3,,GEAS,Echosphere,Atlas 2AS,95,1995,"$63,388",,97 Oct,10/04/97,,97 Oct,10/15/97,179769313486232000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ,1 ,$105,$11,$116,$116,,$100,$34,,$250,FFP,"3,674","1,830","9,000",GEO,61.5ºW,,,,,,32,,32Ku 120W,USA,12.0,A2100AX,3-axis,,
Chinasat 6,ZX 6,HAC,MP&China,LM 3A,95 Dec,1995,"$172,131",12/15/95,96 May,05/11/97,17 ,96 Dec,12/15/96,12 ,1 ,,,$105,$105,,,,,$105,FFP,"1,200",610,936,GEO,,,,,18,,24,,18C/24Ku,China E Asia,12.0,HS-376,spinner,,
Sinosat 1,Xinnuo,AS,Sinosat,LM-3C,95 Dec,1995,"$101,563",12/15/95,98 Jul,07/18/98,31 ,97 Dec,12/15/97,24 ,2 ,,,$130,$130,$20,,,,$150,FFP,"2,844","1,280","5,140",GEO,110.5ºE,,,,24,,14,,24C/14Ku,China,15.0,,,,
MTSat 1,,SS/L,Japan MoT,H2,95 Feb,1995,"$87,379",02/15/95,99 Nov,11/15/99,57 ,99 Jul,07/15/99,53 ,1 ,,,$108,$108,,,,,$108,FFP,"3,000","1,236","2,363",GEO,,,,,,,,,MeteoTraf,Japan,10.0,FS-1300,3-axis,,
Agrani 1,,HAC,ASC delayd,Arian44L,95 Jan,1995,"$65,217",01/15/95,TBD,,,97 Dec,12/15/97,35 ,2 ,$240,$60,$300,$150,$50,$240,$97,,$687,FFP,"4,627","2,300","7,500",GEO,,,1,,,,,,L-PCSS+Ku,,12.0,HS-601HP,3-axis,,
Astra 1G/H,,HAC,SES Lux,ProtonAria,95 Jan,1995,"$66,667",01/15/95,97 Dec,12/02/97,35 ,97 May,05/15/97,28 ,2 ,,,$220,$110,,,,,$110,FFP,"3,300","1,650","7,750",GEO,23.5ºE,,,,,,32,2,32Ku-100W/2Ka,Europe,15.0,HS-702,3-axis,,
Galaxy 08i,,HAC,HCI,Atlas 2AS,95 Jan,1995,"$85,000",01/15/95,97 Dec,12/08/97,35 ,98 Jun,06/15/98,41 ,1 ,$108,$11,$119,$119,,$98,$33,,$249,FFP,"2,800","1,400","8,000",GEO,,,,,,,32,,32 Ku,USA,15.0,HS 601HP,3-axis,,
PAS 6,,SS/L,PanAmSat,Ariane,95 Jan,1995,"$65,079",01/15/95,97 Aug,08/08/97,31 ,97 Apr,04/15/97,27 ,1 ,,,$82,$82,,$66,$30,,$178,FFP,"3,020","1,260","3,700",GEO,,,,,,,36,,36 Ku,,15.0,FS 1300,3-axis,,
Thaicom 3,,AS/ DASA,Shinawat,Ariane,95 Jan,1995,"$81,897",01/15/95,97 Apr,04/16/97,27 ,96 Dec,12/15/96,23 ,1 ,,,$95,$95,$20,$85,,,$200,FFP,"2,650","1,160","5,300",GEO,,,,,24,,14,,24C/14Ku,Thailand,14.0,SB 3000,3-axis,,
Eutelsat W2,,AS,Eutelsat,Ariane,95 Jul,1995,"$46,875",07/15/95,98 Oct,10/05/98,39 ,98 Jul,07/15/98,36 ,3 ,$170,$18,$188,$63,,,,,$188,FFP,"2,700","1,344","5,840",GEO,16.0ºE,,,,,,24,,24 Ku,Europe,12.0,SB-3000,3-axis,,
Garuda 1,ACeS,LockMart,ACeS,Proton,95 Jul,1995,"$82,727",07/15/95,00 Feb,02/12/00,55 ,98 Jan,01/15/98,30 ,2 ,$312,$53,$365,$182,$69,$70,$58,$100,$663,FFP,"4,400","2,200","12,000",GEO,123ºE,,140,,,,,,L band 140 beam,Indonesia,12.0,A2100 AX,3-axis,,
HotBird 4,Eurobird16B,MMS,Eutelsat,Ariane,95 Jul,1995,"$83,439",07/15/95,98 Feb,02/27/98,31 ,97 Sep,09/15/97,26 ,1 ,,,$131,$131,,$70,,,$201,FFP,"2,885","1,570","5,500",GEO,16.0ºE,,,,,,22,,22 Ku @ 135W,Europe,14.5,ES-2000,3-axis,,
ICO Global,,HAC,ICO Global,Proton,95 Jul,1995,"$40,909",07/15/95,00 Mar,03/12/00,56 ,98 Oct,10/15/98,39 ,12 ,"$1,084",,"$1,084",$90,"$1,287",$768,$296,$354,"$3,789",FFP,"2,750","2,200","8,700",MEO,,,,163,,,,,S band 163 beam,Global,12.0,HS-601,3-axis,,
SeSat 1,,NPO-PM,Eutelsat,Proton,95 Jul,1995,"$50,000",07/15/95,00 Apr,04/17/00,57 ,98 Sep,09/15/98,38 ,1 ,,,$70,$70,,$52,,,$122,FFP,"2,600","1,400","6,000",GEO,36.0ºE,,,,,,18,,18 Ku - 90W,,10.0,,3-axis,,
Sirius 2,GE-1E,AS,Nordiska,Ariane,95 Jul,1995,"$88,710",07/15/95,97 Nov,11/11/97,28 ,97 Jul,07/15/97,24 ,1 ,,,$110,$110,$32,$100,$38,,$280,FFP,"2,920","1,240","7,000",GEO,,,,,,,32,,26KuBSS85W/6Ku,,15.0,SB 3000B,3-axis,,
Agila 1,,AS,Philippine,LM 3B,95 Jun,1995,"$73,077",06/15/95,99 Jun,06/15/99,48 ,98 Dec,12/15/98,42 ,1 ,,,$95,$95,$20,$85,,,$200,FFP,"2,560","1,300","4,750",GEO,,,,,26,,12,,26C/12Ku,,15.0,SB 3000,3-axis,,
Apstar 2R,Telstar 10,SS/L,APT Sat,LM3B,95 Jun,1995,"$40,000",06/15/95,97 Oct,10/16/97,28 ,97 Feb,02/15/97,20 ,1 ,,,$80,$80,,,,,$80,FFP,"3,747","2,000","8,340",GEO,76.5ºE,,,,28,,16,,28C/16Ku,China E Asia,15.0,FS 1300,3-axis,,
